iter	Passed	Remaining
1394	100355	1338426
1395	100429	1338389
1396	100500	1338304
1397	100570	1338212
1398	100640	1338105
1399	100711	1338030
1400	100786	1337993
1401	100863	1337988
1402	100939	1337966
1403	101009	1337876
1404	101079	1337769
1405	101152	1337720
1406	101223	1337635
1407	101294	1337553
1408	101371	1337539
1409	101442	1337456
1410	101517	1337424
1411	101591	1337381
1412	101669	1337386
1413	101749	1337418
1414	101821	1337349
1415	101900	1337372
1416	101976	1337356
1417	102065	1337510
1418	102145	1337535
1419	102219	1337486
1420	102295	1337475
1421	102367	1337406
1422	102442	1337370
1423	102517	1337341
1424	102596	1337358
1425	102673	1337351
1426	102748	1337320
1427	102820	1337240
1428	102894	1337192
1429	102966	1337126
1430	103039	1337070
1431	103119	1337097
1432	103191	1337030
1433	103265	1336973
1434	103335	1336882
1435	103411	1336860
1436	103484	1336805
1437	103556	1336724
1438	103626	1336631
1439	103701	1336599
1440	103772	1336508
1441	103842	1336408
1442	103913	1336327
1443	103987	1336281
1444	104060	1336226
1445	104132	1336149
1446	104205	1336096
1447	104298	1336288
1448	104380	1336338
1449	104459	1336367
1450	104529	1336264
1451	104604	1336229
1452	104684	1336257
1453	104754	1336158
1454	104829	1336125
1455	104903	1336084
1456	104997	1336283
1457	105075	1336286
1458	105152	1336285
1459	105229	1336272
1460	105309	1336296
1461	105380	1336214
1462	105456	1336196
1463	105528	1336119
1464	105605	1336105
1465	105685	1336140
1466	105768	1336196
1467	105843	1336165
1468	105919	1336147
1469	105997	1336145
1470	106068	1336055
1471	106143	1336026
1472	106217	1335975
1473	106291	1335927
1474	106363	1335851
1475	106434	1335762
1476	106505	1335684
1477	106579	1335629
1478	106652	1335575
1479	106724	1335502
1480	106793	1335381
1481	106863	1335287
1482	106933	1335194
1483	107004	1335108
1484	107078	1335061
1485	107162	1335127
1486	107247	1335217
1487	107336	1335364
1488	107433	1335589
1489	107523	1335747
1490	107607	1335819
1491	107692	1335909
1492	107778	1336001
1493	107872	1336201
